Date,yhat,yhat_lower,yhat_upper
2015-08-01,23139.858039591312,9919.381155876128,28696.78491249335
2015-08-02,755.3637360662019,0.0,8517.795589023697
2015-08-03,23211.085456186083,14362.326259545218,28750.535614388937
2015-08-04,21269.61118624892,16475.2136875429,26131.594835962547
2015-08-05,20174.019476240435,16133.719119988154,25432.749245230072
2015-08-06,20409.300942449936,15764.680368562822,24939.06007999643
2015-08-07,20001.253118883305,16085.69831935721,25506.691604771593
2015-08-08,22787.72671224676,18622.981728708222,26869.841134753515
2015-08-09,786.2088685101576,0.0,5745.15055692832
2015-08-10,22271.355035224195,17137.452236502777,26186.322157735896
2015-08-11,20978.886982167867,17066.9635131572,25397.37880118959
2015-08-12,20246.075822235485,16345.108871050128,24731.421935003855
2015-08-13,19161.109293778725,15636.3332375914,24000.706320792542
2015-08-14,20702.78409536287,16610.271402540424,24438.067341375965
2015-08-15,22377.584800793607,18367.41501766866,26089.932876058963
2015-08-16,770.8119628398083,525.056759169814,5404.872078181966
2015-08-17,21732.677816130956,17219.119403239914,26087.27738967789
2015-08-18,20179.96725818014,15885.461210418462,23923.46215884073
2015-08-19,19526.898383797776,15195.525682135863,23439.574838705626
2015-08-20,19229.902046360527,15262.98071078556,23120.9091339724
2015-08-21,20165.562970349565,15699.822553556629,23738.34691283999
2015-08-22,22197.914031120847,18291.324256046173,25958.612490880478
2015-08-23,846.5466280742298,21.843711001066943,5050.687806936275
2015-08-24,21378.32598790156,16984.112024151058,24837.74703632241
2015-08-25,19779.641045988716,16203.241704032705,24006.057288103628
2015-08-26,19305.772415944855,15877.237698251993,23706.890424207624
2015-08-27,18928.180452737462,15552.218849250014,23234.063022175458
2015-08-28,20787.785233920265,16236.641689390404,25217.66481433493
