Date,yhat,yhat_lower,yhat_upper
2015-08-01,14134.050623136995,11184.273720873492,17953.552316161702
2015-08-02,407.622505121667,0.0,3974.8327105786657
2015-08-03,13511.823850023346,12494.255538586112,16844.559040940876
2015-08-04,12078.43438765479,9568.623780414287,15179.190329389357
2015-08-05,11905.500186288642,9209.268262257538,14609.228028025977
2015-08-06,11509.04893538567,9116.246128686376,14407.810382835516
2015-08-07,11914.8246343265,9449.34904166637,14762.78089507085
2015-08-08,13911.727730866054,11129.649611474744,17304.37125590103
2015-08-09,247.17720855635093,313.05852961799667,3424.398442066395
2015-08-10,14435.379825616466,10389.034890244864,17805.53155958406
2015-08-11,12602.162719732678,9945.865023664843,15853.154048135671
2015-08-12,11586.494010955528,9323.033887634352,15417.14730151548
2015-08-13,10710.42934723125,8760.910553922145,15281.94692950455
2015-08-14,12147.680583770332,9087.552056598275,16212.80602060994
2015-08-15,14240.794885656815,11043.448599983152,17515.968972213457
2015-08-16,319.21141583872617,311.46774576428567,3746.517431809764
2015-08-17,13338.324116718206,10148.777757186348,16780.195604300123
2015-08-18,11876.226307679823,8563.426060773474,15445.563270631365
2015-08-19,11863.707905806274,8251.735493384404,15226.149048502024
2015-08-20,11067.219473431203,7675.994867287198,14891.963478771122
2015-08-21,11778.021404189061,8038.287401028201,15121.93082405495
2015-08-22,13985.841956004828,9660.465361054128,17076.12093002119
2015-08-23,318.69037470729467,311.46774576428567,3791.047327032432
2015-08-24,13905.433429448265,10132.195943648037,17067.12432921594
2015-08-25,12343.336600809278,9497.52747989061,15846.72011704251
2015-08-26,11785.767171210253,8982.181399482879,15397.018210951726
2015-08-27,10707.855623434561,8281.823306967519,15320.018302118155
2015-08-28,12107.415330896152,9021.475787906533,15744.87511196791
