Date,yhat,yhat_lower,yhat_upper
2015-08-01,8433.21082414831,6438.063831008881,10388.237558736259
2015-08-02,8600.21128782861,6261.961172199702,10239.473215993938
2015-08-03,12225.95888110124,10676.75980220555,14822.039140751278
2015-08-04,11744.481062928375,10258.018693912833,13933.513641892658
2015-08-05,11369.92221752264,9754.939247435334,13602.100531264892
2015-08-06,11203.745405952075,9828.152293226842,13553.715153186096
2015-08-07,11421.565369694712,9691.785427906021,13583.331076841143
2015-08-08,7728.511342082064,6272.427531177858,10518.954916127681
2015-08-09,7654.953938264898,5688.8755066601025,10255.880553596293
2015-08-10,11910.23829329831,10749.25737164794,15065.748382385467
2015-08-11,11319.51648531024,9867.485087778836,14322.385204262398
2015-08-12,10998.962402449542,8816.28199714921,13889.473105625206
2015-08-13,10915.714692971957,8800.870953074687,13760.39492351596
2015-08-14,10798.347752251066,8669.809534434566,13793.79971244903
2015-08-15,7845.961131102673,6270.315390176045,10532.307469852942
2015-08-16,7366.890966213659,5940.077607966637,10242.6802831174
2015-08-17,11167.195966210002,9656.138297968417,14483.847378790866
2015-08-18,10777.662863313293,9085.62412085701,13727.020625535044
2015-08-19,10485.304783869891,8721.660978046744,13424.920508671297
2015-08-20,10477.292960492388,8658.437713704781,13294.012392434657
2015-08-21,10392.902817418464,8631.642023996359,13337.432575281438
2015-08-22,7744.666585472887,6164.115997264409,10550.182642108455
2015-08-23,7514.3809654778015,5863.773650440379,10260.555455372913
2015-08-24,11481.310258047615,9728.096312781738,14469.091181579091
2015-08-25,11477.812703112439,9217.98998149145,13764.783397497347
2015-08-26,10953.107568526313,8854.165756133898,13455.56417300864
2015-08-27,11140.072120162038,8705.81262340554,13366.446701151883
2015-08-28,10822.789169304295,8958.71968411795,13416.487663854503
