Date,yhat,yhat_lower,yhat_upper
2015-08-01,17030.845215944737,7766.34058376899,20651.367126750254
2015-08-02,156.93038734736234,0.0,4876.844643835874
2015-08-03,16923.943725530753,13776.542987108744,21081.589194389147
2015-08-04,16055.59533318998,11749.78000490358,19788.729633818468
2015-08-05,14624.716297978594,10926.435478930345,19064.011614758372
2015-08-06,13970.552321083902,10725.53592882237,19425.97921404498
2015-08-07,15174.650676697074,10553.931696595551,19166.344711997754
2015-08-08,15453.52586554437,12224.45930795488,20040.383029108452
2015-08-09,0.0,353.0918532800285,4382.824500686542
2015-08-10,16699.313716774584,13320.910347455432,22094.712368495406
2015-08-11,15853.227470661124,12653.455787581095,20425.836730781542
2015-08-12,14880.1031899089,11710.148069316692,19772.804043087217
2015-08-13,15039.334095955903,10785.920490360588,19822.5759955611
2015-08-14,14967.814311790891,11569.721508365688,19735.10000906552
2015-08-15,16087.38005375343,12142.02070635838,19770.04436194565
2015-08-16,0.0,42.62777734570501,4365.353907576366
2015-08-17,16784.02320314459,13210.640523185159,21723.515051391183
2015-08-18,15156.59891961999,11359.370558818613,19745.05056164438
2015-08-19,14631.648724313003,10826.144655930071,18778.162579116688
2015-08-20,14651.753270178195,10502.632901401103,19332.626489205868
2015-08-21,14431.711381759445,10327.318704293066,19122.10056127997
2015-08-22,15990.52876414794,11488.208070385414,19709.96252066914
2015-08-23,15.935622882166873,0.0,4169.415716374666
2015-08-24,16431.546063581358,12798.767874652443,20546.32783477191
2015-08-25,15715.94281837537,12292.73376346151,20085.351226656443
2015-08-26,14927.707340919693,11633.732392890919,19386.70877393859
2015-08-27,15121.35302833395,11431.144931432773,19586.242587323573
2015-08-28,15909.26230947321,11461.86365868976,19801.60280925381
