Date,yhat,yhat_lower,yhat_upper
2015-08-01,10011.515434344747,8449.483286361474,12046.961213819439
2015-08-02,16974.281840458232,15041.406796472054,18584.849648836134
2015-08-03,12945.200500536539,11499.320986618994,14802.552770364486
2015-08-04,12194.444621370305,10771.792776561528,13996.314912838017
2015-08-05,11979.657731634572,10557.563614916486,13559.969108089932
2015-08-06,12597.963620186692,10820.7492015199,14045.83900549747
2015-08-07,12751.967201849393,11123.86097741823,14147.5301499536
2015-08-08,9437.528029732937,7930.917062348146,11337.225509849544
2015-08-09,16485.611847617496,14978.76375190849,18136.99864674804
2015-08-10,12343.935719369325,11306.212411082344,14303.593906564356
2015-08-11,11819.609848427586,10709.593325383741,13734.930835333002
2015-08-12,11863.154987492188,10515.182132716267,13475.155344657975
2015-08-13,12439.406647766478,11089.087688999934,13816.4492977228
2015-08-14,12598.709027675664,11320.51591459318,14293.75014854252
2015-08-15,9579.946299763908,8109.553444130788,11439.29618100335
2015-08-16,16615.568956249594,14944.529784328406,18423.685308327687
2015-08-17,12517.680394913656,11237.385924255283,14376.9332273752
2015-08-18,12077.954724927007,10674.250967942531,13750.557809539692
2015-08-19,11859.59239654601,10470.213674647624,13799.566056982203
2015-08-20,12188.42047961875,10860.038206909147,13980.520281149335
2015-08-21,12266.337764442738,11089.562560406255,13885.964775033313
2015-08-22,9136.08464210904,7931.208255514589,11204.414697068292
2015-08-23,16020.357029584931,14646.360357619349,17668.197467314
2015-08-24,12401.36793597861,11254.638796685576,14193.194934406165
2015-08-25,11640.720800756742,10452.421792612146,13512.069892605465
2015-08-26,11554.543316869127,10439.068265541078,13329.619392473447
2015-08-27,12279.823910103718,10876.91226299122,13660.312956864545
2015-08-28,12749.581857246169,11259.148132573693,14496.012173493093
