Date,yhat,yhat_lower,yhat_upper
2015-08-01,22468.907566943068,17345.845711605878,26853.90266558907
2015-08-02,31950.289830650043,25608.073781501742,36045.90840050066
2015-08-03,23147.966630659197,18744.091059757302,28250.47340164335
2015-08-04,20075.791394461507,17275.84367695031,24626.394141538556
2015-08-05,20232.745776158303,16773.25021041248,22537.494268715614
2015-08-06,21293.351338080698,17414.043531924646,23669.800483164327
2015-08-07,23345.666742452857,18984.65803962965,26818.570592935816
2015-08-08,21928.98129364659,16757.624953775536,24208.282774021875
2015-08-09,33010.34795115159,25421.9576332043,35969.24200258763
2015-08-10,24986.965292949284,19104.818465627828,28715.909963619713
2015-08-11,22956.24399785643,17733.695273435005,25835.989863380128
2015-08-12,21570.59406985322,17776.83437027564,25773.837950249574
2015-08-13,21882.36689921513,18194.92754599517,25264.55344413194
2015-08-14,22542.813960814812,19535.593691935966,26484.701456791146
2015-08-15,20504.793799963263,17324.642856724837,23209.419538250957
2015-08-16,32730.63354454055,25178.74912310644,35700.78711649744
2015-08-17,24647.84344248213,19043.77019021367,28957.65229479617
2015-08-18,21693.46779923706,17482.84624013988,25697.003577780615
2015-08-19,20610.87766656464,17440.9720467842,23548.46201439165
2015-08-20,21000.317127452123,17600.653907230233,23763.02644454079
2015-08-21,22553.614283506664,18746.3310715772,24832.915763881945
2015-08-22,20020.251997718406,16943.58671420184,22732.79096348681
2015-08-23,32662.245845585872,25255.17273523028,35272.94649941759
2015-08-24,24226.78563823238,19013.230474637614,28469.926571996133
2015-08-25,22437.621906322674,17781.979909990452,26072.27739516797
2015-08-26,22236.886887070046,17862.46517860132,25681.343836398366
2015-08-27,24484.511800711436,18289.555380432612,28104.992979013
2015-08-28,26315.674487865737,19309.14453101973,31252.57821890824
